Ticker,GoogleFinanceSymbol,Price,MarketCap
000660.KS,KRX:000660,"=GOOGLEFINANCE(""KRX:000660"",""price"")","=GOOGLEFINANCE(""KRX:000660"",""marketcap"")"
AAOI,AAOI,"=GOOGLEFINANCE(""AAOI"",""price"")","=GOOGLEFINANCE(""AAOI"",""marketcap"")"
AAPL,AAPL,"=GOOGLEFINANCE(""AAPL"",""price"")","=GOOGLEFINANCE(""AAPL"",""marketcap"")"
AEHR,AEHR,"=GOOGLEFINANCE(""AEHR"",""price"")","=GOOGLEFINANCE(""AEHR"",""marketcap"")"
AEVA,AEVA,"=GOOGLEFINANCE(""AEVA"",""price"")","=GOOGLEFINANCE(""AEVA"",""marketcap"")"
AGLT,AGLT,"=GOOGLEFINANCE(""AGLT"",""price"")","=GOOGLEFINANCE(""AGLT"",""marketcap"")"
ALMU,ALMU,"=GOOGLEFINANCE(""ALMU"",""price"")","=GOOGLEFINANCE(""ALMU"",""marketcap"")"
AMAT,AMAT,"=GOOGLEFINANCE(""AMAT"",""price"")","=GOOGLEFINANCE(""AMAT"",""marketcap"")"
AMD,AMD,"=GOOGLEFINANCE(""AMD"",""price"")","=GOOGLEFINANCE(""AMD"",""marketcap"")"
AMZN,AMZN,"=GOOGLEFINANCE(""AMZN"",""price"")","=GOOGLEFINANCE(""AMZN"",""marketcap"")"
ARM,ARM,"=GOOGLEFINANCE(""ARM"",""price"")","=GOOGLEFINANCE(""ARM"",""marketcap"")"
ASML,ASML,"=GOOGLEFINANCE(""ASML"",""price"")","=GOOGLEFINANCE(""ASML"",""marketcap"")"
ASTS,ASTS,"=GOOGLEFINANCE(""ASTS"",""price"")","=GOOGLEFINANCE(""ASTS"",""marketcap"")"
ASX,ASX,"=GOOGLEFINANCE(""ASX"",""price"")","=GOOGLEFINANCE(""ASX"",""marketcap"")"
AVGO,AVGO,"=GOOGLEFINANCE(""AVGO"",""price"")","=GOOGLEFINANCE(""AVGO"",""marketcap"")"
AXTI,AXTI,"=GOOGLEFINANCE(""AXTI"",""price"")","=GOOGLEFINANCE(""AXTI"",""marketcap"")"
BABA,BABA,"=GOOGLEFINANCE(""BABA"",""price"")","=GOOGLEFINANCE(""BABA"",""marketcap"")"
BE,BE,"=GOOGLEFINANCE(""BE"",""price"")","=GOOGLEFINANCE(""BE"",""marketcap"")"
BOT,BOT,"=GOOGLEFINANCE(""BOT"",""price"")","=GOOGLEFINANCE(""BOT"",""marketcap"")"
BRUN,BRUN,"=GOOGLEFINANCE(""BRUN"",""price"")","=GOOGLEFINANCE(""BRUN"",""marketcap"")"
BULL,BULL,"=GOOGLEFINANCE(""BULL"",""price"")","=GOOGLEFINANCE(""BULL"",""marketcap"")"
CBRS,CBRS,"=GOOGLEFINANCE(""CBRS"",""price"")","=GOOGLEFINANCE(""CBRS"",""marketcap"")"
CCXI,CCXI,"=GOOGLEFINANCE(""CCXI"",""price"")","=GOOGLEFINANCE(""CCXI"",""marketcap"")"
COHR,COHR,"=GOOGLEFINANCE(""COHR"",""price"")","=GOOGLEFINANCE(""COHR"",""marketcap"")"
CRCL,CRCL,"=GOOGLEFINANCE(""CRCL"",""price"")","=GOOGLEFINANCE(""CRCL"",""marketcap"")"
CRWV,CRWV,"=GOOGLEFINANCE(""CRWV"",""price"")","=GOOGLEFINANCE(""CRWV"",""marketcap"")"
DJT,DJT,"=GOOGLEFINANCE(""DJT"",""price"")","=GOOGLEFINANCE(""DJT"",""marketcap"")"
DRAM,DRAM,"=GOOGLEFINANCE(""DRAM"",""price"")","=GOOGLEFINANCE(""DRAM"",""marketcap"")"
EOS,EOS,"=GOOGLEFINANCE(""EOS"",""price"")","=GOOGLEFINANCE(""EOS"",""marketcap"")"
ETHA,ETHA,"=GOOGLEFINANCE(""ETHA"",""price"")","=GOOGLEFINANCE(""ETHA"",""marketcap"")"
EWY,EWY,"=GOOGLEFINANCE(""EWY"",""price"")","=GOOGLEFINANCE(""EWY"",""marketcap"")"
FCEL,FCEL,"=GOOGLEFINANCE(""FCEL"",""price"")","=GOOGLEFINANCE(""FCEL"",""marketcap"")"
GFS,GFS,"=GOOGLEFINANCE(""GFS"",""price"")","=GOOGLEFINANCE(""GFS"",""marketcap"")"
GLW,GLW,"=GOOGLEFINANCE(""GLW"",""price"")","=GOOGLEFINANCE(""GLW"",""marketcap"")"
GOOGL,GOOGL,"=GOOGLEFINANCE(""GOOGL"",""price"")","=GOOGLEFINANCE(""GOOGL"",""marketcap"")"
HIMX,HIMX,"=GOOGLEFINANCE(""HIMX"",""price"")","=GOOGLEFINANCE(""HIMX"",""marketcap"")"
HOOD,HOOD,"=GOOGLEFINANCE(""HOOD"",""price"")","=GOOGLEFINANCE(""HOOD"",""marketcap"")"
IBIT,IBIT,"=GOOGLEFINANCE(""IBIT"",""price"")","=GOOGLEFINANCE(""IBIT"",""marketcap"")"
IBM,IBM,"=GOOGLEFINANCE(""IBM"",""price"")","=GOOGLEFINANCE(""IBM"",""marketcap"")"
INTC,INTC,"=GOOGLEFINANCE(""INTC"",""price"")","=GOOGLEFINANCE(""INTC"",""marketcap"")"
IONQ,IONQ,"=GOOGLEFINANCE(""IONQ"",""price"")","=GOOGLEFINANCE(""IONQ"",""marketcap"")"
IQE,IQE,"=GOOGLEFINANCE(""IQE"",""price"")","=GOOGLEFINANCE(""IQE"",""marketcap"")"
IREN,IREN,"=GOOGLEFINANCE(""IREN"",""price"")","=GOOGLEFINANCE(""IREN"",""marketcap"")"
JBL,JBL,"=GOOGLEFINANCE(""JBL"",""price"")","=GOOGLEFINANCE(""JBL"",""marketcap"")"
KLA,KLA,"=GOOGLEFINANCE(""KLA"",""price"")","=GOOGLEFINANCE(""KLA"",""marketcap"")"
KLAC,KLAC,"=GOOGLEFINANCE(""KLAC"",""price"")","=GOOGLEFINANCE(""KLAC"",""marketcap"")"
LITE,LITE,"=GOOGLEFINANCE(""LITE"",""price"")","=GOOGLEFINANCE(""LITE"",""marketcap"")"
LPK.DE,ETR:LPK,"=GOOGLEFINANCE(""ETR:LPK"",""price"")","=GOOGLEFINANCE(""ETR:LPK"",""marketcap"")"
LRCX,LRCX,"=GOOGLEFINANCE(""LRCX"",""price"")","=GOOGLEFINANCE(""LRCX"",""marketcap"")"
LWLG,LWLG,"=GOOGLEFINANCE(""LWLG"",""price"")","=GOOGLEFINANCE(""LWLG"",""marketcap"")"
MELI,MELI,"=GOOGLEFINANCE(""MELI"",""price"")","=GOOGLEFINANCE(""MELI"",""marketcap"")"
META,META,"=GOOGLEFINANCE(""META"",""price"")","=GOOGLEFINANCE(""META"",""marketcap"")"
MRVL,MRVL,"=GOOGLEFINANCE(""MRVL"",""price"")","=GOOGLEFINANCE(""MRVL"",""marketcap"")"
MSFT,MSFT,"=GOOGLEFINANCE(""MSFT"",""price"")","=GOOGLEFINANCE(""MSFT"",""marketcap"")"
MTSI,MTSI,"=GOOGLEFINANCE(""MTSI"",""price"")","=GOOGLEFINANCE(""MTSI"",""marketcap"")"
MU,MU,"=GOOGLEFINANCE(""MU"",""price"")","=GOOGLEFINANCE(""MU"",""marketcap"")"
NBIS,NBIS,"=GOOGLEFINANCE(""NBIS"",""price"")","=GOOGLEFINANCE(""NBIS"",""marketcap"")"
NFLX,NFLX,"=GOOGLEFINANCE(""NFLX"",""price"")","=GOOGLEFINANCE(""NFLX"",""marketcap"")"
NVDA,NVDA,"=GOOGLEFINANCE(""NVDA"",""price"")","=GOOGLEFINANCE(""NVDA"",""marketcap"")"
NVTS,NVTS,"=GOOGLEFINANCE(""NVTS"",""price"")","=GOOGLEFINANCE(""NVTS"",""marketcap"")"
OUST,OUST,"=GOOGLEFINANCE(""OUST"",""price"")","=GOOGLEFINANCE(""OUST"",""marketcap"")"
POET,POET,"=GOOGLEFINANCE(""POET"",""price"")","=GOOGLEFINANCE(""POET"",""marketcap"")"
QBTS,QBTS,"=GOOGLEFINANCE(""QBTS"",""price"")","=GOOGLEFINANCE(""QBTS"",""marketcap"")"
QQQ,QQQ,"=GOOGLEFINANCE(""QQQ"",""price"")","=GOOGLEFINANCE(""QQQ"",""marketcap"")"
RDDT,RDDT,"=GOOGLEFINANCE(""RDDT"",""price"")","=GOOGLEFINANCE(""RDDT"",""marketcap"")"
RGTI,RGTI,"=GOOGLEFINANCE(""RGTI"",""price"")","=GOOGLEFINANCE(""RGTI"",""marketcap"")"
RKLB,RKLB,"=GOOGLEFINANCE(""RKLB"",""price"")","=GOOGLEFINANCE(""RKLB"",""marketcap"")"
SIVE,STO:SIVE,"=GOOGLEFINANCE(""STO:SIVE"",""price"")","=GOOGLEFINANCE(""STO:SIVE"",""marketcap"")"
SMHD,SMHD,"=GOOGLEFINANCE(""SMHD"",""price"")","=GOOGLEFINANCE(""SMHD"",""marketcap"")"
SMHMD,SMHMD,"=GOOGLEFINANCE(""SMHMD"",""price"")","=GOOGLEFINANCE(""SMHMD"",""marketcap"")"
SMTC,SMTC,"=GOOGLEFINANCE(""SMTC"",""price"")","=GOOGLEFINANCE(""SMTC"",""marketcap"")"
SNDK,SNDK,"=GOOGLEFINANCE(""SNDK"",""price"")","=GOOGLEFINANCE(""SNDK"",""marketcap"")"
SOI,SOI,"=GOOGLEFINANCE(""SOI"",""price"")","=GOOGLEFINANCE(""SOI"",""marketcap"")"
SOI.PA,EPA:SOI,"=GOOGLEFINANCE(""EPA:SOI"",""price"")","=GOOGLEFINANCE(""EPA:SOI"",""marketcap"")"
SPCX,SPCX,"=GOOGLEFINANCE(""SPCX"",""price"")","=GOOGLEFINANCE(""SPCX"",""marketcap"")"
TER,TER,"=GOOGLEFINANCE(""TER"",""price"")","=GOOGLEFINANCE(""TER"",""marketcap"")"
TSEM,TSEM,"=GOOGLEFINANCE(""TSEM"",""price"")","=GOOGLEFINANCE(""TSEM"",""marketcap"")"
TSLA,TSLA,"=GOOGLEFINANCE(""TSLA"",""price"")","=GOOGLEFINANCE(""TSLA"",""marketcap"")"
TSM,NYSE:TSM,"=GOOGLEFINANCE(""NYSE:TSM"",""price"")","=GOOGLEFINANCE(""NYSE:TSM"",""marketcap"")"
UPWK,UPWK,"=GOOGLEFINANCE(""UPWK"",""price"")","=GOOGLEFINANCE(""UPWK"",""marketcap"")"
VECO,VECO,"=GOOGLEFINANCE(""VECO"",""price"")","=GOOGLEFINANCE(""VECO"",""marketcap"")"
VPG,VPG,"=GOOGLEFINANCE(""VPG"",""price"")","=GOOGLEFINANCE(""VPG"",""marketcap"")"
WLAC,WLAC,"=GOOGLEFINANCE(""WLAC"",""price"")","=GOOGLEFINANCE(""WLAC"",""marketcap"")"
XFAB,XFAB,"=GOOGLEFINANCE(""XFAB"",""price"")","=GOOGLEFINANCE(""XFAB"",""marketcap"")"
